lat	lon		url
51.549987	-0.023801	Hackney Wick, east London	https://www.theguardian.com/money/2008/sep/27/homes
54.892473	-2.932931	Carlisle, Cumbria	https://www.theguardian.com/money/2008/sep/20/homes.money
54.579089	-5.919706	Ormeau Road, Belfast	https://www.theguardian.com/money/2008/sep/13/homes
55.861583	-4.312887	Govan, Glasgow	https://www.theguardian.com/money/2008/sep/06/homes
53.795984	-1.759398	Bradford, West Yorkshire	https://www.theguardian.com/money/2008/oct/25/property-homes-bradford
51.27241	0.190898	Sevenoaks, Kent	https://www.theguardian.com/money/2008/oct/18/property-homes
53.04304	-2.992494	Wrexham	https://www.theguardian.com/money/2008/oct/04/homes.money
53.139551	-4.273911	Caernarfon, Gwynedd	https://www.theguardian.com/money/2008/nov/29/caernarfon-gwynedd-wales-moving-property
51.451169	0.052639	Eltham, south-east London	https://www.theguardian.com/money/2008/nov/22/move-to-eltham-london
54.046575	-2.8007399	Lancaster, Lancashire	https://www.theguardian.com/money/2008/nov/15/move-to-lancaster-lancashire
53.425722	-2.247519	West Didsbury, Manchester	https://www.theguardian.com/money/2008/nov/08/west-didsbury-manchester
50.59382	-4.829978	Port Isaac, Cornwall	https://www.theguardian.com/money/2008/nov/01/port-isaac-cornwall
50.83761	-0.774936	Chichester, West Sussex	https://www.theguardian.com/money/2008/dec/20/homes-property-west-sussex-chichester
54.1361346	-1.5237756	Ripon, North Yorkshire	https://www.theguardian.com/money/2008/dec/13/lets-move-ripon-north-yorkshire
53.193392	-2.893075	Chester	https://www.theguardian.com/money/2008/dec/06/chester-cheshire-houses
53.400575	-0.774465	Gainsborough, Lincolnshire	https://www.theguardian.com/money/2008/aug/30/homes
53.743304	-2.013021	Hebden Bridge, West Yorkshire	https://www.theguardian.com/money/2008/aug/23/hebden.bridge.west.yorkshire
52.33146	-0.182552	Huntingdon, Cambridgeshire	https://www.theguardian.com/money/2008/aug/16/homes
51.9489469	-3.391463	Brecon, Powys	https://www.theguardian.com/money/2009/sep/26/brecon-powys
51.185732	-0.612808	Godalming, Surrey	https://www.theguardian.com/money/2009/sep/19/lets-move-to-godalming-surrey
52.282316	-1.584927	Warwick	https://www.theguardian.com/money/2009/sep/12/lets-move-to-warwick
52.0947402	1.5341196	Orford, Suffolk	https://www.theguardian.com/money/2009/sep/05/lets-move-to-orford-suffolk
53.5933498	-2.2966054	Bury, Lancashire	https://www.theguardian.com/money/2009/oct/31/lets-move-to-bury-lancashire
51.5476228	-0.0701132	Dalston, east London	https://www.theguardian.com/money/2009/oct/24/lets-move-to-dalston-east-london
50.730991	-0.793704	Selsey, West Sussex	https://www.theguardian.com/money/2009/oct/10/lets-move-to-the-witterings-west-sussex
52.4244044	-1.9338974	Bournville, Birmingham	https://www.theguardian.com/money/2009/oct/03/lets-move-to-bournville-birmingham
53.016626	-1.732179	Ashbourne, Derbyshire	https://www.theguardian.com/money/2009/nov/28/lets-move-to-ashbourne-derbyshire
52.931448	1.301866	Cromer	https://www.theguardian.com/money/2009/nov/21/lets-move-to-cromer
51.205163	-4.126762	Ilfracombe, Devon	https://www.theguardian.com/money/2009/nov/14/lets-move-to-ilfracombe-devon
52.095481	1.312571	Woodbridge, Suffolk	https://www.theguardian.com/money/2009/nov/07/lets-move-to-woodbridge-suffolk
53.871098	-2.393083	Clitheroe, Lancashire	https://www.theguardian.com/money/2009/may/30/clitheroe-lancashire-property
51.4752488	-0.0132098	Greenwich, south-east London	https://www.theguardian.com/money/2009/may/23/greenwich-london-property
51.761877	-0.739779	Wendover, Bucks	https://www.theguardian.com/money/2009/may/16/wendover-buckinghamshire-property
50.873872	0.00878	Lewes, Sussex	https://www.theguardian.com/money/2009/may/09/lewes-sussex-properties
51.454513	-2.58791	Bristol	https://www.theguardian.com/money/2009/may/02/move-to-bristol
51.2909038	0.1731875	Darenth Valley, Kent	https://www.theguardian.com/money/2009/mar/28/darenth-valley-kent-property
52.205337	0.121817	Cambridge	https://www.theguardian.com/money/2009/mar/21/lets-move-to-cambridge
51.438798	-3.173507	Penarth, Glamorgan	https://www.theguardian.com/money/2009/mar/14/penarth-glamorgan
51.848186	1.267736	Walton-on-the-Naze, Essex	https://www.theguardian.com/money/2009/mar/07/walton-on-the-naze-essex
51.38847	-0.416969	Walton, Surrey	https://www.theguardian.com/money/2009/jun/27/lets-move-walton-weybridge-surrey
56.0585093	-2.7182817	East Lothian coast	https://www.theguardian.com/money/2009/jun/20/move-to-east-lothian
50.735777	-1.778586	Christchurch, Dorset	https://www.theguardian.com/money/2009/jun/13/lets-move-christchurch
52.033882	-2.423574	Ledbury, Herefordshire	https://www.theguardian.com/money/2009/jun/06/ledbury-herefordshire-move
50.768035	0.290472	Eastbourne	https://www.theguardian.com/money/2009/jul/25/lets-move-to-eastbourne
